foundation_name,ein,state,city,peak_assets,current_assets,status,announced_date,sunset_date,timeline_source,why_listed,focus_areas,grantees_at_risk
A. James & Alice B. Clark Foundation,521363445,MD,Bethesda,1300000000,0,CLOSED,2011,Dec-25,Inside Philanthropy/Foundation Website,"$1.3B spent to 400+ orgs over 10 years. Engineering, veterans, DC region. Closed Dec 31, 2025","Engineering education, veterans, DC community",400+
Aaron Diamond Foundation,N/A,NY,New York,220000000,0,CLOSED,N/A,1996,Philanthropy Roundtable,AIDS research pioneer. Created Aaron Diamond AIDS Research Center. Closed 1996,"AIDS research, NYC",Completed
Atlantic Philanthropies,133679840,NY,New York,8000000000,0,CLOSED,2002,Sep-20,Foundation Website/Wikipedia,Chuck Feeney's $8B spend-down complete. Largest foundation to intentionally close,"Global health, aging, human rights",Completed
Beldon Fund,N/A,NY,New York,120000000,0,CLOSED,1998,2009,Foundation Website,Environmental advocacy. 10-year spend-down. Closed 2009,Environmental policy,Completed
Bill & Melinda Gates Foundation,562618866,WA,Seattle,75000000000,75000000000,SUNSETTING,May-25,2045,Gates Foundation Press Release,"Announced May 2025: $200B spend-down by 2045, foundation will close","Global health, poverty, education",5000+
Burnett Foundation,816523186,TX,Fort Worth,210000000,0,CLOSED,~2020,2023,Fort Worth Report,"Anne Marion's $1B to Fort Worth. TCU medical school, Modern Art Museum. Closed 2023","Arts, education, Fort Worth community",Completed
Compton Foundation,943142932,CA,Redwood City,30000000,0,CLOSED,2018,2025,Inside Philanthropy/Foundation Website,"79-year foundation closed 2025. Peace, environment, reproductive rights","Peace, environment, reproductive justice",100+
Cornelia T. Bailey Charitable Trust,656474256,FL,Palm Beach,362000000,0,CLOSED,N/A,2022,990 Data,"Florida arts & culture. Vero Beach Museum, Palm Beach Opera. Closed 2022","Arts, Florida community",Completed
Edna McConnell Clark Foundation,237047034,NY,New York,1000000000,0,CLOSED,2016,2021,Philanthropy Daily,$1B spend-down announced 2016. Spun off Blue Meridian Partners. Closed 2021,Youth development,Completed
Edward W. Hazen Foundation,131641063,NY,New York,30000000,0,CLOSED,2019,2024,NPQ/Foundation Website,Youth organizing & racial justice. $30M spend-down. Closed 2024,"Youth organizing, racial equity",Completed
Erb Family Foundation,383237572,MI,Royal Oak,50000000,50000000,SUNSETTING,2022,2034,Inside Philanthropy/PND,"Announced 2022: Spend down by 2034. Michigan environment, arts, democracy","Environment, arts, democracy",100+
Gary and Mary West Foundation,470793015,CA,San Diego,145000000,0,CLOSED,N/A,2022,990 Data,"Senior services focus. Funded West Health, dental centers. Closed 2022","Senior services, healthcare",Completed
Hellman Foundation,611583546,CA,San Francisco,733000000,635000000,SUNSETTING,Sep-23,2034,Inside Philanthropy/Foundation Website,Announced Sept 2023: Will spend $635M by 2034. Bay Area focus. Funds Hardly Strictly Bluegrass,"Education, youth, health, arts",200+
Holland Foundation,470805015,NE,Omaha,50000000,10000000,SUNSETTING,2016,2026,Nebraska Public Media,Dick Holland's plan: sunset 10 years after death (2016). Final grants 2026,"Arts, youth poverty, Omaha community",100+
Irene Diamond Fund,N/A,NY,New York,286000000,0,CLOSED,N/A,Dec-12,PND,"$286M to AIDS, arts, education in NYC. 10 years after Irene Diamond's death","AIDS research, arts, education",Completed
Jaharis Family Foundation,592751110,NY,New York,156000000,0,CLOSED,N/A,Mar-23,Florida State Filing,"Voluntary dissolution Mar 2023. Greek heritage, medical education, arts","Arts, medical education, Greek heritage",Completed
James B. McClatchy Foundation,680283878,CA,Sacramento,25000000,15000000,SUNSETTING,2016,2030,Foundation communications,Board terms end 2030. Accelerated grantmaking phase. Central Valley democracy focus,"Civic education, First Amendment, English learners",90+
