state,program_name,administering_agency,website_url,application_url,services_covered,payment_structure,typical_engagement_value,enrollment_open,application_deadline,requirements,approval_timeline,recipient_lists_public,grant_cycle_timing,co_marketing_available,contact_name,contact_email,contact_phone,fit_score,notes
PA,PANO Consultant Collaborative,Pennsylvania Association of Nonprofit Organizations,https://pano.org/consulting/,https://pano.org/consulting/,"Strategic planning, governance training, board retreat facilitation, fundraising, HR, merger assistance",Foundation subsidizes consultant fees,"$2,500-$10,000",Yes (April-Dec 2025),Rolling,PANO Membership required,2-4 weeks,No - must be member,Rolling through Dec 2025,Yes - consultant directory listing,,membership@pano.org,,8,"HIGH FIT: Grant readiness can fit under 'fundraising' category. Active program through 2025. Low barrier - just need PANO membership and get vetted."
MN,Management Improvement Fund,Saint Paul & Minnesota Foundation,https://spmcf.org/nonprofits/grants-for-nonprofits/management-improvement-fund,https://spmcf.org/nonprofits/grants-for-nonprofits/management-improvement-fund,"Strategic planning, board development, fund development planning, organizational assessments",Nonprofit selects consultant; grant pays fees,"Up to $15,000",Yes,Rolling,"Consultant provides written proposal/bid",4-6 weeks,No,Rolling - 600+ grants since 1991,No - nonprofit selects own consultant,,,651-224-5463,6,"MODERATE FIT: Nonprofits choose their own consultants. No formal 'approved list' but could market to grant recipients. Fund development planning includes grant readiness."
IL,Forefront Mission Sustainability Initiative,Forefront,https://myforefront.org/,https://myforefront.org/,"Collaboration exploration, merger assistance, strategic partnerships, capacity building",Vetted consultant list; foundation-funded engagements,Varies,Yes,Rolling,"Experience in nonprofit consulting",Unknown,No,Ongoing,Yes - vetted consultant list,,info@myforefront.org,312-578-0090,7,"GOOD FIT: Forefront maintains vetted consultant lists. EACI program specifically helps nonprofits with government funding/grants."
IL,Community Foundation of East Central Illinois,CFECI,https://www.cfeci.org/,,"Capacity building in organizational operations",Grant covers consultant fees,"Up to $5,000 (10% match required)",Unknown,Unknown,Serve CFECI service area,Unknown,Yes - will provide list of local consultants on request,Unknown,Unknown,,,217-359-0125,5,"MODERATE FIT: Will provide consultant list to applicants. Limited geography (central IL counties only)."
CO,Colorado Nonprofit Association Professional Services Directory,Colorado Nonprofit Association,https://coloradononprofits.org/knowledge/nonprofit-consultant-directory/,https://coloradononprofits.org/,"Accounting, HR, consulting services for nonprofits",Directory listing; nonprofits pay directly,Varies,Yes,Rolling,CNA membership,Immediate,N/A - directory model,N/A,Yes - directory placement,,info@coloradononprofits.org,303-832-5710,5,"MODERATE FIT: Directory listing, not voucher model. Good visibility but no guaranteed payment."
MI,Michigan Nonprofit Association Capacity Building Centers,Michigan Nonprofit Association,https://www.mnaonline.org/resources/capacity-building-centers,https://www.mnaonline.org/membership/consultant-listing,"Board governance, strategic planning, financial consulting, DEIJ consulting, coaching",Network referrals; various payment models,Varies,Yes,Rolling,MNA membership,Unknown,No,Ongoing,Yes - consultant listing and referrals,,info@mnaonline.org,,6,"GOOD FIT: Network of capacity building providers. Multiple orgs (Michigan Community Resources, NEW, etc.) could refer clients."
WA,King County GACB Program,King County DCHS,https://kingcounty.gov/en/dept/dchs/human-social-services/funding-opportunities-dchs/grant-application-capacity-building,,"Grant application consulting, capacity building consulting",County pays contracted consultants directly,Varies,Yes (for contracted consultants),Unknown,Contract with King County,Unknown,No,Ongoing,Yes - county contracts with providers,,,206-263-9105,9,"HIGH FIT: County pays consultants directly! Model matches exactly what we're looking for. Need to become contracted provider."
NY,CCNSF - Cultural Community Nonprofit Stabilization Fund,NYC Dept of Youth & Community Development,https://www.ccnsfund.org/,https://www.ccnsfund.org/how-to-apply,"Organizational development, capacity building",Grant caps: $50K for-profit / $75K nonprofit consultants,"$50,000-$75,000 cap per consultant",Unknown,Check website,Listed on CCNSF consultant list,Unknown,Unknown,Annual,Yes - consultant list shared at info sessions,,,212-513-7555,7,"GOOD FIT: Maintains consultant list shared with grantees. Large engagement caps. NYC focus."
CA,CalOSBA Technical Assistance Program,California Office of Small Business Advocate,https://calosba.ca.gov/for-calosba-partners/funding-opportunities-for-partners/,,"Small business technical assistance (not nonprofit-focused)",Grant to TA centers,$23M total program annually,Check LOI deadline,LOI required by late July,Established TA center with track record; 1:1 matching funds,Unknown,Yes - awardee lists published,Annual (Oct-Sept),Unknown,,,916-322-5790,3,"LOW FIT: Small business focused, not nonprofit. Requires existing TA center infrastructure."
TX,OneStar Foundation - Texas Rural Nonprofit Network,OneStar Foundation,https://onestarfoundation.org/join-texas-rural-nonprofit-network/,,"Volunteer recruitment, fundraising, compliance, nonprofit coaching",Free platform + coaching for selected nonprofits,Free (funded by Resilia partnership),Limited (25 slots),Unknown,Texas rural nonprofit,Unknown,No,Unknown,Yes - partnership with Resilia platform,,volunteer@onestarfoundation.org,512-287-2007,4,"LOW FIT: Serves nonprofits, not consultant model. Could explore partnership but not direct vendor opportunity."
