FOUNDATION,WEBSITE,HAS_CAPACITY_PROGRAM,PROGRAM_NAME,PROGRAM_TYPE,PROGRAM_DESCRIPTION,CURRENTLY_ACTIVE,HIRES_VENDORS,NUM_NONPROFITS_SERVED,CONTACT_NAME,CONTACT_EMAIL,CONTACT_PHONE,DEADLINE,PROGRAM_URL,NOTES
Community Foundation of Greater Birmingham,cfbham.org,Unknown,N/A,none,No specific capacity-building programs detailed on primary website,Unknown,Unknown,Unknown,N/A,N/A,205-327-3800,N/A,N/A,"Website emphasizes grantmaking and grant opportunities but lacks detailed program catalog. Foundation describes itself as connector of ""philanthropists, nonprofits, and engaged leaders."" Direct contact recommended for program details."
Community Foundation of Louisville,cflouisville.org,Yes,"Alden Fellows; Fund for Louisville; Racial Justice Cohort",cohort|grants|training,"Alden Fellows: Up to $10,000 grants for nonprofit executives pursuing professional certifications (5 awards annually). Fund for Louisville: Capacity-building grants to nonprofits in historically disinvested areas. Racial Justice Cohort: 12 Black-led social change organizations receiving renewable grants over three years",Yes,Yes,"Alden Fellows: 5 per year; Racial Justice Cohort: 12 organizations","Heather Cash, Amber Burns-Jones",heatherc@cflouisville.org,"502.585.4649, 502.855.6957","Alden Fellows 2025 deadline passed (May 5); Fund for Louisville rolling deadlines","cflouisville.org/community-support/alden-fellows/, cflouisville.org/funding/","Also works with Center for Nonprofit Excellence (CNPE). Alden Fellows has awarded $270,000 to 44 fellows since 2014."
Community Foundation of Greater Rochester (NY),racf.org,Yes,"Nonprofit Academy Workshop Series; Grant Portal",training|workshops,"Workshops and collaborative initiatives focused on capacity building. Foundation emphasizes collaboration through regular consultations, workshops, and networking events.",Yes,Unknown,Unknown (8-county region coverage),N/A,N/A,"(585) 341-4371, 585.271.4100",N/A,"www.racf.org/partnerships/initiatives/, Grant Portal: https://www.grantinterface.com/Home/Logon?urlkey=racfg","Foundation focuses on equity. Related resources: Center for Nonprofit Leadership at St. John Fisher University (5-course nonprofit management certificate over 1 calendar year). Nonprofit Works also offers training."
East Bay Community Foundation (CA),ebcf.org,Yes,"ASCEND:BLO (Accelerating & Stabilizing Communities through Equitable Nonprofit Development); Capacity Building with Racial Equity Lens",cohort|accelerator|grantee_support,"ASCEND:BLO Accelerator: 6-month intensive program for emerging Black-led organizations with strategy, feasibility, sustainability coaching. ASCEND:BLO Stabilizer: 3-year support program for mature BLOs. Peer learning community with workshops.",Yes,Yes,"5 per cohort (accelerator), 5 per cohort (stabilizer)",N/A,"info@eastbaycf.org, ascendblo@eastbaycf.org",(510) 836-3223,"Specific 2025 deadline not found; rolling/periodic cohort applications","ebcf.org/initiatives/ascendblo/, ebcf.org/program-strategies/capacity-building/","Geographic focus: Alameda, Contra Costa, San Francisco, San Mateo Counties. Program is 3-year investment. Strong equity focus with emphasis on Black-led organizations."
San Antonio Area Foundation (TX),saafdn.org,Yes,"Nonprofit Management Certificate Program; Supervisory & Management Certificate; Board Boot Camp; HOLT Fellows; Confluence Fellowship; Fundraising Essentials; Grant Writing Certificate",cohort|training|certificate,"Nonprofit Management Certificate: 36 contact hours, under 2 months, covers board governance, DEI, strategy, HR, volunteers, succession planning, fundraising, financials. Offered twice yearly (Spring/Fall). Board Boot Camp: Board governance and financial oversight. HOLT Fellows: Advanced leadership development. Confluence Fellowship: Emerging leader development.",Yes,Yes,"Limited seats per cohort (specific numbers not disclosed)",N/A,"learning@saafdn.org, membership@saafdn.org",210.225.2243,"Fall 2025: September 9 start; Spring 2026 schedules available; varies by program","saafdn.org/nonprofits/nonprofits-resources-and-training/nonprofit-training/, san-antonio-area-foundation.thinkific.com","Cost: $980 for Nonprofit Management Certificate (payment plans available). National leader in affordable professional development. Thinkific-based learning platform. No refunds policy. Membership discounts available."
Central Indiana Community Foundation (CICF),cicf.org,Yes,"Director of Nonprofit Services & Sustainability; Nonprofit Toolkit; Charitable Organization Funds; Central Indiana Racial Equity Fund",grantee_support|resources,"New Director of Nonprofit Services & Sustainability position focusing on helping nonprofits build financial stability. Comprehensive Nonprofit Toolkit with 75+ resources covering organizational growth, board governance, fundraising, HR, finance. Central Indiana Racial Equity Fund (established 2020) supports capacity-building.",Yes,Yes,"Granted $22.8M (2024); $883K in scholarships","Diana Coyle (Director of Nonprofit Services & Sustainability)",N/A,N/A,"Varies by program","cicf.org/grants-resources/, cicf.org/nonprofit-toolkit/","Toolkit includes: Sustainability Matrix, strategic partnership guides, earned income assessments, merger resources, board governance templates. Partners with Fund Raising School at IUPUI."
Columbus Foundation (OH),columbusfoundation.org,Yes,"Summer Fellowship Program; Board Series; Sector Building; Educational Programs; Nonprofit Forums; Center for Change Management",cohort|training|grants|grantee_support,"Summer Fellowship: 10-week professional development (2025: June 2-Aug 8). Board Series: 3-part annual program for 15 organizations covering board basics, governance, ED relationships. Sector Building Grants: $50,000-$150,000 for nonprofit infrastructure. Nonprofit Forums: Regular expert presentations. Center for Change Management: New resource for nonprofits navigating change.",Yes,Yes,"Board Series: up to 15 organizations per cohort; ongoing programs","Erin Scott (Director of Capacity Building and Community Knowledge)",escott@columbusfoundation.org,614/251-4000,"2025 Summer Fellowship closed; 2026 app opens 1 month before deadline","columbusfoundation.org/nonprofit-center/grant-opportunities/columbus-foundation-grants/capacity-building/, columbusfoundation.org/nonprofit-center/educational-programs/","Comprehensive nonprofit center with Nonprofit Portal Resource Center and Toolkit. Emergency Response Fund II (seeded early 2025) for operational pressures. Strong focus on sector-building."
Community Foundation of Greater Chattanooga (TN),cfgc.org,Unknown,N/A,none,"No detailed capacity-building programs identified on website. Foundation granted $28M+ to nonprofits (2024) but specific program details not provided.",Unknown,Unknown,Unknown,N/A,N/A,N/A,N/A,"Nonprofit Portal: https://www.grantinterface.com/Home/Logon?urlkey=cfgc","Website mentions ""Fund for Chattanooga"" but limited public information on capacity-building programs. Foundation focuses on grantmaking rather than technical support visibility. Direct contact recommended."
Lincoln Community Foundation (NE),lcf.org,Yes,"Beyond the Grants; Open Door Grants; Agency Funds; Conference Space",grantee_support|resources,"Beyond the Grants: Support services extending beyond financial grants to strengthen nonprofit operations and impact. Open Door Grants: General funding opportunity. Agency Funds: Specialized fund structure. Conference Space: Large and small conference rooms available.",Yes,Unknown,Unknown,N/A,N/A,(402) 474-2345,N/A,"lcf.org/helping-nonprofits/, lcf.org/helping-nonprofits/agency-funds.html","Foundation describes itself as ""catalyzing force seeking to create better future"" by uniting people, institutions, resources. Limited detail on specific capacity-building programs. Direct contact recommended."
Wichita Community Foundation (KS),wichitafoundation.org,Yes,"Nonprofit Elevation; Upward Mobility Initiative; Nonprofit Toolkit",grantee_support|resources,"Nonprofit Elevation: Strategic initiative supporting thriving organizations. Upward Mobility: Mission ""All Wichitans deserve to flourish""; focuses on economic mobility and community access. Nonprofit Toolkit: Resources for nonprofit support.",Yes,Unknown,Unknown,N/A,N/A,316.264.4880,N/A,"wichitafoundation.org/community-impact/nonprofit-elevation, wichitafoundation.org/grants-and-scholarships/nonprofit-toolkit","Limited detail on specific programs beyond initiative names. Website provides toolkit resources but not detailed training or cohort information. Newsletter available. Direct contact recommended."
