foundation_name,ein,state,city,assets_millions,has_capacity_program,program_name,program_type,currently_active,num_nonprofits_served,hires_vendors,application_deadline,program_officer_name,program_officer_email,website_url,program_page_url,pitch_angle,priority_score,notes
Silicon Valley Community Foundation,,CA,Mountain View,10356,Yes,Open-access workshops and training,training,Yes,650+,Yes,Rolling,N/A,N/A,siliconvalleycf.org,N/A,Angle B - Propose new program,8,"Large foundation with open training programs, partners with Catch-A-Fire serving 250+ nonprofits"
The Oregon Community Foundation,,OR,Portland,2979,Yes,Black-led organization capacity grants,grants,Yes,Unknown,Yes,"July 14 - Aug 25, 2025",N/A,N/A,oregoncf.org,N/A,Angle A - Plug into existing program,9,Active deadline in 2025 for capacity grants targeting Black-led organizations
Greater Kansas City Community Foundation,,MO,Kansas City,2796,Yes,Nonprofit support services,grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,growyourgiving.org,N/A,Angle B - Propose new program,7,Large foundation with grantee support services
California Community Foundation,,CA,Los Angeles,2112,Yes,Capacity building support,grants|grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,calfund.org,N/A,Angle B - Propose new program,7,Major CA foundation with capacity support
Community Foundation of Northwest Indiana,,IN,Merrillville,1539,Yes,Nonprofit Academy (4-pillar structure),cohort,Yes,Unknown,Yes,Rolling,N/A,N/A,nwicf.org,N/A,Angle A - Plug into existing program,8,Structured nonprofit academy program
The Community Foundation for Greater Atlanta,,GA,Atlanta,1316,Yes,"Google.org $1M AI Training Initiative",training|vendor_services,Yes,Unknown,Yes,"April 2025 launch, ongoing",N/A,N/A,cfgreateratlanta.org,N/A,Angle A - Plug into existing program,10,Major initiative with Google.org partnership - emerging AI/tech focus
Rhode Island Community Foundation,,RI,Providence,1258,Yes,"ELI+ cohort (10-month, 175+ hours)",cohort,Yes,15 per cohort,Yes,Check website,N/A,N/A,rifoundation.org,N/A,Angle A - Plug into existing program,9,"Intensive cohort program, equity focus on leaders of color"
Community Foundation for Southeast Michigan,,MI,Detroit,1142,Yes,Pontiac Collaborative capacity building,cohort|grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,cfsem.org,N/A,Angle A - Plug into existing program,7,Regional collaborative model
Jewish Community Foundation of Los Angeles,,CA,Los Angeles,1116,Yes,"Strategic Initiative Grants ($150K-$300K over 3 years)",grants|vendor_services,Yes,Unknown,Yes,Requires Grantseekers Workshop attendance,N/A,N/A,jewishfoundationla.org,N/A,Angle A - Plug into existing program,8,"High-value grants with coaching, mandatory workshop creates screening opportunity"
Arizona Community Foundation,,AZ,Phoenix,1114,Yes,Capacity building support,grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,azfoundation.org,N/A,Angle B - Propose new program,6,State-wide foundation with grantee support
Marin Community Foundation,,CA,Novato,1107,Yes,"Community Power Initiative ($30M over 3 years)",grants|training|vendor_services,Yes,~80 nonprofits,Yes,Rolling,N/A,N/A,marincf.org,marincf.org/our-initiatives/community-power,Angle A - Plug into existing program,10,"$10M/year to ~80 nonprofits, includes TA, training, free meeting space"
Greater Houston Community Foundation,,TX,Houston,1019,Yes,Foundation Services + Educational programming,training|grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,ghcf.org,N/A,Angle B - Propose new program,6,Large TX foundation with educational programming
Hawaii Community Foundation,,HI,Honolulu,1018,Yes,Travel scholarships + Resilience Fund with TA,grants|grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,hawaiicommunityfoundation.org,hawaiicommunityfoundation.org/grants/open-applications,Angle B - Propose new program,6,Geographic isolation creates unique need for capacity support
Tulsa Community Foundation,,OK,Tulsa,943,Yes,501TechNet (tech services at 25-50% cost),vendor_services,Yes,Hundreds,Yes,Rolling,N/A,N/A,tulsacf.org,N/A,Angle A - Plug into existing program,8,Proven vendor services model serving hundreds of nonprofits
Community Foundation of Middle Tennessee,,TN,Nashville,909,Yes,"Multi-service support (TA, grants, fiscal sponsorship)",grantee_support|grants,Yes,Unknown,Yes,Rolling,N/A,N/A,cfmt.org,cfmt.org/nonprofits,Angle B - Propose new program,7,Comprehensive nonprofit support ecosystem
South Dakota Community Foundation,,SD,Pierre,886,Yes,15-month CFRM/CFRE credential program,cohort|training,Yes,Unknown,Yes,Check website,N/A,N/A,sdcommunityfoundation.org,sdcommunityfoundation.org/grants/beyond-idea-grants,Angle A - Plug into existing program,8,Internationally recognized credential program with Indiana University
Community Foundation for Greater Buffalo,,NY,Buffalo,880,Yes,Ralph C. Wilson Jr. Initiative for ARTS,cohort|grants,Yes,Unknown,Yes,Check website,N/A,N/A,cfgb.org,cfgb.org/community-change/initiatives/fund-for-the-arts/,Angle A - Plug into existing program,7,Cohort-based capacity building for arts organizations
Community Foundation of New Jersey,,NJ,Morristown,865,Yes,Large-scale grantmaking with TA components,grantee_support,Yes,"8,000+ grants in 2024",Yes,Rolling,N/A,N/A,cfnj.org,N/A,Angle B - Propose new program,6,$100M+ annually - regional organizations offer TA
Oklahoma City Community Foundation,,OK,Oklahoma City,857,Yes,Quarterly endowment training workshops,training,Yes,Unknown,Yes,Quarterly,N/A,N/A,occf.org,occf.org/training/,Angle C - Webinar partnership,7,"Free workshops with lunch provided, 50+ years of endowment management"
Arkansas Community Foundation,,AR,Little Rock,744,Yes,"Giving Tree Grants (July 10-Aug 15 annual)",grants,Yes,29 affiliate offices,Yes,"July 10 - Aug 15",N/A,N/A,arcf.org,arcf.org/nonprofits/,Angle A - Plug into existing program,8,Statewide network with 29 affiliate offices - annual grant deadline
Maine Community Foundation,,ME,Ellsworth,732,Yes,"Investing in Leaders of Color + capacity grants ($1-$20K)",grants|training|vendor_services,Yes,Unknown,Yes,Varies by program,Maggie Drummond-Bahl,mbahl@mainecf.org,mainecf.org,mainecf.org/apply-for-a-grant/available-grants-deadlines/,Angle A - Plug into existing program,8,Equity focus with specific contact available
Community Foundation for Greater New Haven,,CT,New Haven,712,Yes,"Nonprofit Management Program for Emerging Leaders of Color (2-year)",cohort|training|grants|vendor_services,Yes,"10-11 per cohort, 50+ consultant support",Yes,Varies,Jackie Downing,203-777-2386,cfgnh.org,cfgnh.org/strengthening-nonprofits,Angle A - Plug into existing program,10,"UConn partnership, $25K+ grants to orgs, Resilia partnership, 65 workshops/year"
Orange County Community Foundation,,CA,Newport Beach,688,Yes,Avanzar Board Leadership Academy (3-month),cohort|training,Yes,21 completed 2024 cohort,Yes,"March 1 - May 31, 2025",Pia Flores,pflores@oc-cf.org,oc-cf.org,oc-cf.org/avanzar/,Angle A - Plug into existing program,9,"Free 3-month program for Latino professionals, Adelante Partners Inc. partnership"
Community Foundation of Tampa Bay,,FL,Tampa,664,Yes,"Nonprofit Leadership Center Partnership ($225K over 3 years)",vendor_services|grants|grantee_support,Yes,"1,500+ nonprofits regionally",Yes,Rolling,Jesse Coraggio,info@cftampabay.org,cftampabay.org,cftampabay.org/nonprofits,Angle A - Plug into existing program,9,"Major 3-year partnership announced June 2025, Pasco County focus in 2025"
Community Foundation for Palm Beach & Martin Counties,,FL,West Palm Beach,655,Yes,Capacity Building Grants + Resilia Partnership,grants|vendor_services,Yes,25 in Resilia partnership,Yes,"Nov 1, 2025 (2026 cycle)",Danita R. DeHaney (CEO),561-659-6800,yourcommunityfoundation.org,yourcommunityfoundation.org/capacity-building/,Angle A - Plug into existing program,8,"Resilia partnership model, Frederick A. DeLuca Foundation funded"
Community Foundation of Greater Memphis,,TN,Memphis,600,Yes,"Capacity Building Grants (~$15K avg) + Jumpstart Fundraising",grants|training|vendor_services,Yes,Unknown,Yes,No Fall 2025 round (Jumpstart active),Aerial Ozuzu,aerial@cfgm.org,cfgm.org,cfgm.org/nonprofit-capacity-building,Angle A - Plug into existing program,7,"Capacity grants suspended but Jumpstart active, yearlong coaching program"
Community Foundation of Greater Des Moines,,IA,Des Moines,550,Yes,"Peer Learning Cohort (9-month) + Strategic Alignment Grants",cohort|training|grants,Yes,Unknown,Implied,Check website,N/A,Contact through website,desmoinesfoundation.org,desmoinesfoundation.org/nonprofit-resources/for-impact-leaders,Angle A - Plug into existing program,7,"40+ county affiliates, strategic alignment grants for 2+ nonprofits"
Community Foundation Sonoma County,,CA,Santa Rosa,500,Yes,"Resilient Organizations Program (18+ free trainings, 62 hours)",cohort|training|grants|vendor_services,Yes,250+ professionals,Implied,Rolling,N/A,resilientorgs@sonomacf.org,sonomacf.org,sonomacf.org/resilient-organizations-program/,Angle A - Plug into existing program,9,"2024 launch, merger/transition support, Valley Fund cohorts"
Omaha Community Foundation,,NE,Omaha,450,Yes,"Nonprofit Capacity Building Program (10-month cohort) + $5K grants",cohort|training|grants|vendor_services,Yes,10 per cohort,Yes,Rolling (2024 cohort selected),Dasia Horne,dasia@omahafoundation.org,omahafoundation.org,omahafoundation.org/nonprofits/nonprofit-capacity-building/,Angle A - Plug into existing program,10,"$5K grant per participant, equity focus, monthly coaching"
Community Foundation of Greater Flint,,MI,Flint,400,Yes,"BEST Initiative (4-funder collaborative, 44 consultants)",vendor_services|grantee_support,Yes,9 in first cohort,Yes,Check BEST status,N/A,info@cfgf.org,cfgf.org,N/A,Angle A - Plug into existing program,9,"Coalition with United Way, Ruth Mott, C.S. Mott - $338K in Year 1"
Community Foundation of Greater Birmingham,,AL,Birmingham,380,Yes,Capacity building support,grantee_support,Yes,Unknown,Unknown,Rolling,N/A,N/A,cfbham.org,N/A,Angle B - Propose new program,5,Regional foundation with support services
