org_name,ein,mission_clarity,mission_structure,program_count,purpose_word_count,has_active_fundraiser,org_name_descriptive,mission_text,one_liner
"Roaring Fork Friends of the Theater Inc",841546404,2,1,5,0,1,1,"Theater productions and performances in Aspen/Roaring Fork Valley","Live theater productions and community engagement"
"Kahuli Leo Lea",843718571,1,1,3,21,"Kāhuli Leo Leʻa is a 501(c)(3) Hawaiʻi non-profit organization aimed at catalyzing aloha ʻāina through the education, composition, and presentation of mele and other cultural practices.",1,1,"Hawaiian music education and cultural preservation"
"City Lights Theater Co of San Jose Inc",770014788,2,1,5,0,1,1,"Bold, imaginative theater productions and special events","Bold, imaginative theater engaging audiences"
"North Country Children's Museum",900905305,1,1,6,18,"The museum's tagline states: Where Kids Play to Learn and Grown-ups Learn to Play. Learning is a hands-on, minds-on, interactive experience powered by play.",1,1,"Interactive hands-on learning for children 12 and under"
"Santa Cruz Museum of Natural History",942427733,1,1,8,14,"The Santa Cruz Museum of Natural History connects people with science and nature to inspire stewardship of the natural world.",1,1,"Natural history museum connecting people to nature"
"Renaissance Performing Arts Association",341300583,1,1,3,18,"The mission of the Renaissance is to foster greater human connection and understanding through performing arts experiences that inspire, engage, and educate all people.",1,1,"Human connection through performing arts"
"San Luis Obispo Symphony Inc",952493144,1,1,6,18,"Support an outstanding orchestra, to foster symphonic and chamber music education, and to contribute to the cultural and economic vitality of the central coast community.",1,1,"Symphony orchestra and music education for central coast"
"Lake States Dairy Center Inc",352141464,1,1,3,13,"Present innovations within the dairy industry in an engaging and relatable manner, helping consumers connect with agricultural practices.",1,1,"Dairy industry education and agricultural transparency"
"History San Jose",237179176,2,1,6,20,"History San José anchors the region's diverse cultural history by offering compelling experiences—exhibitions, festivals, educational programs, and academic research",1,1,"Cultural heritage preservation and presentation"
"DreamWrights Youth and Family Theatre",232882835,1,1,4,16,"DreamWrights builds community through creativity. Their mission is to foster character, connection, and confidence through inclusive, intergenerational theatre and creative arts programming.",1,1,"Character building through community theater"
"The National Theatre Foundation",521014217,2,1,5,0,1,1,"Educational theater programming and historical preservation","Theater education and preservation of theater history"
"Weston Ranch Foundation",710932352,1,1,5,31,"The Weston Ranch Foundation exists to honor the vision of Caroline and Grainger Weston by serving the community, family, and educational institutions. We do this by conserving, restoring, and enhancing the land, water, and wildlife located in an urbanizing area in south central Texas.",0,0,"Land and wildlife conservation in central Texas"
"West Virginia Public Broadcasting Foundation",550719285,1,1,6,12,"Educate, inform, and inspire our people by telling West Virginia's story.",1,1,"Public broadcasting education and storytelling"
"Economic Fundamentals Initiative",833451365,1,1,2,12,"Economics education for Eastern Europe and former USSR countries",1,0,"Economics education for Eastern Europe"
"Makor Hebrew Foundation Inc",261937727,2,1,1,9,"Dedicated to uncovering the Hebrew sources of the Jewish and Christian faiths.",0,0,"Hebrew sources research for faith traditions"
"Maryland Center for Construction Education",271363698,1,1,3,12,"Inspire and connect people to careers in construction",1,0,"Construction career pathway development"
"Children First Education Fund",852428825,1,1,4,15,"Provide school choice for students with disabilities through tax-credit funded scholarships",1,0,"School choice scholarships for disabled students"
